case_id,user_query,scenario_type,template_id,expected_behavior,constraints_json,difficulty,tags
CASE_001,油皮，预算200，夏天通勤，推荐粉底液,商品推荐,product_recommendation,推荐适合油皮、控油持妆、价格≤200元的粉底液；需给出推荐理由、适用场景说明和避雷提示；如超预算产品应单独标注,"{""skin_type"": ""油皮"", ""budget"": 200, ""category"": ""粉底液"", ""scene"": ""夏天通勤""}",中,"油皮,粉底液,预算,通勤"
CASE_002,干皮想要奶油肌，预算300，有什么底妆推荐,商品推荐,product_recommendation,推荐适合干皮、保湿、奶油肌妆效的粉底液或散粉；需说明产品如何满足保湿和妆效需求,"{""skin_type"": ""干皮"", ""budget"": 300, ""category"": ""底妆"", ""finish"": ""奶油肌""}",中,"干皮,底妆,奶油肌"
CASE_003,混油皮夏天想买不暗沉的粉底液，预算350以内,商品推荐,product_recommendation,推荐适合混油皮、夏季持妆、不易暗沉的粉底液；需解释产品防暗沉机制（如成膜技术/成分）并提示补妆建议,"{""skin_type"": ""混油皮"", ""budget"": 350, ""category"": ""粉底液"", ""requirements"": [""不暗沉"", ""持妆""], ""scene"": ""夏天""}",中,"混油皮,粉底液,不暗沉"
CASE_004,敏感肌能用的平价粉底液推荐，预算150左右,商品推荐,product_recommendation,推荐适合敏感肌、成分温和的平价粉底液（价格≤150元）；必须包含成分风险提示和试敏建议；优先触发ingredient_risk_check skill,"{""skin_type"": ""敏感肌"", ""budget"": 150, ""category"": ""粉底液"", ""budget_level"": ""平价"", ""risk"": ""低刺激""}",难,"敏感肌,粉底液,成分风险"
CASE_005,学生党平价腮红推荐，日常提气色用,商品推荐,product_recommendation,推荐适合学生党、平价、日常可用的腮红；需说明色号选择与肤色匹配建议,"{""skin_tone"": ""不限"", ""budget_level"": ""平价"", ""category"": ""腮红"", ""scene"": ""日常"", ""concern"": ""提气色""}",易,"腮红,平价,学生党"
CASE_006,黄黑皮适合的口红，预算150以内，日常通勤用,商品推荐,product_recommendation,推荐适合黄黑皮、日常通勤、价格≤150元的口红；需说明色系选择逻辑（如避开荧光调、推荐暖调/棕调）,"{""skin_tone"": ""黄黑皮"", ""budget"": 150, ""category"": ""口红"", ""scene"": ""通勤""}",中,"黄黑皮,口红,通勤"
CASE_007,冷白皮约会妆适合什么腮红,商品推荐,product_recommendation,推荐适合冷白皮、约会妆氛围的腮红色系或产品；需说明为什么该色系适合冷白皮（如粉调/梅子色不显脏）,"{""skin_tone"": ""冷白皮"", ""category"": ""腮红"", ""scene"": ""约会"", ""style"": ""约会妆""}",易,"冷白皮,腮红,约会"
CASE_008,大油皮定妆散粉，预算250，想要控油强一点,商品推荐,product_recommendation,推荐适合大油皮、控油力强、价格≤250元的散粉；需提示可能拔干风险及使用方法（如局部定妆/烘焙法）,"{""skin_type"": ""大油皮"", ""budget"": 250, ""category"": ""散粉"", ""requirements"": [""控油强""]}",中,"大油皮,散粉,控油"
CASE_009,干皮冬天用什么粉底液不卡粉，预算400,商品推荐,product_recommendation,推荐适合干皮冬季、保湿不卡粉、价格≤400元的粉底液；需结合冬季护肤打底给出妆前建议,"{""skin_type"": ""干皮"", ""budget"": 400, ""category"": ""粉底液"", ""scene"": ""冬天"", ""requirements"": [""不卡粉""]}",中,"干皮,粉底液,冬天"
CASE_010,想买一支适合素颜涂的豆沙色口红，不要太贵,商品推荐,product_recommendation,推荐适合素颜、豆沙色系、平价位口红；需说明豆沙色对不同肤色的适配度和素颜涂抹技巧,"{""category"": ""口红"", ""color"": ""豆沙色"", ""scene"": ""素颜"", ""budget_level"": ""平价""}",易,"口红,豆沙色,素颜"
