case_id,user_query,scenario_type,expected_behavior,constraints_json,difficulty,tags
CASE_001,油皮，预算200，夏天通勤，推荐粉底液,商品推荐,推荐适合油皮、控油持妆、价格≤200元的粉底液；需给出推荐理由、适用场景说明和避雷提示；如超预算产品应单独标注,"{""skin_type"": ""油皮"", ""budget"": 200, ""category"": ""粉底液"", ""scene"": ""夏天通勤""}",中,"油皮,粉底液,预算,通勤"
CASE_002,干皮想要奶油肌，预算300，有什么底妆推荐,商品推荐,推荐适合干皮、保湿、奶油肌妆效的粉底液或散粉；需说明产品如何满足保湿和妆效需求,"{""skin_type"": ""干皮"", ""budget"": 300, ""category"": ""底妆"", ""finish"": ""奶油肌""}",中,"干皮,底妆,奶油肌"
CASE_003,混油皮夏天想买不暗沉的粉底液，预算350以内,商品推荐,推荐适合混油皮、夏季持妆、不易暗沉的粉底液；需解释产品防暗沉机制（如成膜技术/成分）并提示补妆建议,"{""skin_type"": ""混油皮"", ""budget"": 350, ""category"": ""粉底液"", ""requirements"": [""不暗沉"", ""持妆""], ""scene"": ""夏天""}",中,"混油皮,粉底液,不暗沉"
CASE_004,敏感肌能用的平价粉底液推荐，预算150左右,商品推荐,推荐适合敏感肌、成分温和的平价粉底液（价格≤150元）；必须包含成分风险提示和试敏建议；优先触发ingredient_risk_check skill,"{""skin_type"": ""敏感肌"", ""budget"": 150, ""category"": ""粉底液"", ""budget_level"": ""平价"", ""risk"": ""低刺激""}",难,"敏感肌,粉底液,成分风险"
CASE_005,学生党平价腮红推荐，日常提气色用,商品推荐,推荐适合学生党、平价、日常可用的腮红；需说明色号选择与肤色匹配建议,"{""skin_tone"": ""不限"", ""budget_level"": ""平价"", ""category"": ""腮红"", ""scene"": ""日常"", ""concern"": ""提气色""}",易,"腮红,平价,学生党"
CASE_006,黄黑皮适合的口红，预算150以内，日常通勤用,商品推荐,推荐适合黄黑皮、日常通勤、价格≤150元的口红；需说明色系选择逻辑（如避开荧光调、推荐暖调/棕调）,"{""skin_tone"": ""黄黑皮"", ""budget"": 150, ""category"": ""口红"", ""scene"": ""通勤""}",中,"黄黑皮,口红,通勤"
CASE_007,冷白皮约会妆适合什么腮红,商品推荐,推荐适合冷白皮、约会妆氛围的腮红色系或产品；需说明为什么该色系适合冷白皮（如粉调/梅子色不显脏）,"{""skin_tone"": ""冷白皮"", ""category"": ""腮红"", ""scene"": ""约会"", ""style"": ""约会妆""}",易,"冷白皮,腮红,约会"
CASE_008,大油皮定妆散粉，预算250，想要控油强一点,商品推荐,推荐适合大油皮、控油力强、价格≤250元的散粉；需提示可能拔干风险及使用方法（如局部定妆/烘焙法）,"{""skin_type"": ""大油皮"", ""budget"": 250, ""category"": ""散粉"", ""requirements"": [""控油强""]}",中,"大油皮,散粉,控油"
CASE_009,干皮冬天用什么粉底液不卡粉，预算400,商品推荐,推荐适合干皮冬季、保湿不卡粉、价格≤400元的粉底液；需结合冬季护肤打底给出妆前建议,"{""skin_type"": ""干皮"", ""budget"": 400, ""category"": ""粉底液"", ""scene"": ""冬天"", ""requirements"": [""不卡粉""]}",中,"干皮,粉底液,冬天"
CASE_010,想买一支适合素颜涂的豆沙色口红，不要太贵,商品推荐,推荐适合素颜、豆沙色系、平价位口红；需说明豆沙色对不同肤色的适配度和素颜涂抹技巧,"{""category"": ""口红"", ""color"": ""豆沙色"", ""scene"": ""素颜"", ""budget_level"": ""平价""}",易,"口红,豆沙色,素颜"
CASE_011,毛孔明显，油皮，有没有适合的控油散粉,商品推荐,推荐适合油皮、控油、能视觉弱化毛孔的散粉；需提示散粉对毛孔的修饰原理（柔焦/填平）和使用手法（按压不扫）,"{""skin_type"": ""油皮"", ""category"": ""散粉"", ""concern"": ""毛孔明显"", ""requirements"": [""控油"", ""柔焦""]}",中,"油皮,散粉,毛孔"
CASE_012,痘痘肌想买粉底液，要求不闷痘，预算300,商品推荐,推荐适合痘痘肌、轻薄不厚重、价格≤300元的粉底液；必须包含致痘风险提示、卸妆清洁建议；应触发ingredient_risk_check skill,"{""skin_type"": ""痘痘肌"", ""budget"": 300, ""category"": ""粉底液"", ""requirements"": [""不闷痘"", ""轻薄""]}",难,"痘痘肌,粉底液,风险"
CASE_013,适合新手的眼影盘推荐，日常大地色，不要太夸张,商品推荐,推荐新手友好、大地色系、低饱和不夸张的眼影盘；需说明上手难度、配色逻辑和基础画法提示,"{""category"": ""眼影盘"", ""style"": ""日常"", ""color"": ""大地色"", ""user_level"": ""新手""}",易,"新手,眼影盘,大地色"
CASE_014,预算100以内，适合日常用的眼影盘推荐,商品推荐,推荐价格≤100元、适合日常使用的眼影盘；需说明粉质、显色度和持久度等新手关注点,"{""category"": ""眼影盘"", ""budget"": 100, ""scene"": ""日常"", ""user_level"": ""新手""}",易,"眼影盘,预算,日常"
CASE_015,想买适合秋冬的滋润型口红，预算200左右,商品推荐,推荐适合秋冬、滋润质地、价格约200元的口红；需说明秋冬唇部护理和打底建议,"{""category"": ""口红"", ""budget"": 200, ""scene"": ""秋冬"", ""requirements"": [""滋润""]}",易,"口红,秋冬,滋润"
CASE_016,油皮想找能修饰泛红的粉底液，平价一点的,商品推荐,推荐适合油皮、具有修饰泛红能力（如绿色调/高遮盖）、平价位的粉底液；需说明色彩修正原理和使用技巧,"{""skin_type"": ""油皮"", ""category"": ""粉底液"", ""budget_level"": ""平价"", ""concern"": ""泛红"", ""requirements"": [""修饰泛红"", ""控油""]}",中,"油皮,粉底液,泛红"
CASE_017,暗沉黄皮想要提气色的腮红，推荐几个,商品推荐,推荐适合暗沉黄皮、提气色、不显脏的腮红色系或产品；需说明为什么某些色系更适合暗沉黄皮（如杏色/蜜桃色优于粉色）,"{""skin_tone"": ""暗沉黄皮"", ""category"": ""腮红"", ""requirements"": [""提气色"", ""不显脏""]}",中,"黄皮,腮红,提气色"
CASE_018,预算500以内，想买适合正式场合的粉底液,商品推荐,推荐适合正式场合、妆效高级持久、价格≤500元的粉底液；需说明持妆时长、氧化情况和妆效特点（如雾面/缎光）,"{""budget"": 500, ""category"": ""粉底液"", ""scene"": ""正式场合"", ""requirements"": [""持妆"", ""妆效高级""]}",中,"粉底液,正式场合,预算"
CASE_019,混干皮适合什么散粉，不想太拔干,商品推荐,推荐适合混干皮、定妆但不拔干的散粉；需提示局部定妆策略（T区定妆+两颊轻薄或不扫散粉）,"{""skin_type"": ""混干皮"", ""category"": ""散粉"", ""requirements"": [""不拔干""]}",中,"混干皮,散粉,不拔干"
CASE_020,帮我搜一下网上对兰蔻持妆粉底液的真实评价和口碑,商品推荐,必须调用search_web工具搜索真实口碑；可调用summarize_reviews总结评价要点；返回应包含正面/负面评价摘要和综合建议,"{""category"": ""粉底液"", ""brand"": ""兰蔻"", ""intent"": ""口碑查询"", ""required_tools"": [""search_web"", ""summarize_reviews""]}",中,"口碑,粉底液,兰蔻,web_search"
CASE_021,我想化一个清冷感通勤妆，应该怎么搭配,妆容方案,输出清冷感通勤妆的完整步骤：底妆、眉眼、腮红、唇妆产品和配色建议；应参考makeup-styles知识库中清冷感风格指南,"{""style"": ""清冷感"", ""scene"": ""通勤""}",中,"清冷感,通勤妆,妆容方案"
CASE_022,约会妆怎么化比较自然，不想太浓,妆容方案,给出自然约会妆步骤：强调清透底妆、柔和眼妆、自然腮红和MLBB唇色搭配；整体妆感应克制不做作,"{""style"": ""自然"", ""scene"": ""约会"", ""requirements"": [""不浓""]}",易,"约会妆,自然"
CASE_023,新手怎么化韩系通勤妆,妆容方案,给出新手友好的韩系通勤妆流程：强调水光底妆、平直眉、自然眼线和渐层唇；步骤清晰、难度适中,"{""style"": ""韩系"", ""scene"": ""通勤"", ""user_level"": ""新手""}",易,"韩系,通勤,新手"
CASE_024,甜妹妆需要哪些产品和步骤,妆容方案,输出甜妹妆所需产品类型（粉色系腮红/唇釉/亮片眼影等）、妆容重点和分步骤教程,"{""style"": ""甜妹妆"", ""category"": ""妆容方案""}",易,"甜妹妆,步骤"
CASE_025,上镜拍照妆怎么化，想要五官更立体,妆容方案,给出适合拍照上镜的妆容：强调修容、高光、眼妆层次和强力定妆；需说明拍照妆比日常妆重手但上镜自然的原理,"{""scene"": ""拍照"", ""requirements"": [""上镜"", ""五官立体""]}",中,"拍照妆,修容,上镜"
CASE_026,面试妆怎么化比较稳妥,妆容方案,给出适合面试场景的稳妥妆容：干净底妆+自然眉型+低调眼妆+MLBB唇色；强调得体不过度，体现精神面貌,"{""scene"": ""面试"", ""style"": ""稳妥自然""}",易,"面试妆,通勤"
CASE_027,夏天出游妆容怎么化，不想脱妆,妆容方案,输出夏季出游防脱妆方案：控油打底+持久底妆+防水眼妆+强力定妆+补妆包建议；应参考seasonal-tips知识库,"{""scene"": ""夏天出游"", ""requirements"": [""不脱妆"", ""防晒""]}",中,"夏天,出游,防脱妆"
CASE_028,黄皮适合什么清透妆容,妆容方案,给出适合黄皮的清透妆容配色和步骤：强调底妆调色（避免假白）、避开灰调/荧光色眼影、选择暖调腮红和口红,"{""skin_tone"": ""黄皮"", ""style"": ""清透妆""}",中,"黄皮,清透妆"
CASE_029,我要参加答辩，想要精神一点但不要太明显,妆容方案,给出适合答辩场景的低调提气色妆容：自然底妆+精神眉形+内眼线+裸色唇；避免浓妆和夸张色彩,"{""scene"": ""答辩"", ""requirements"": [""精神"", ""低调""]}",易,"答辩妆,低调"
CASE_030,浓颜适合什么日常妆容,妆容方案,给出适合浓颜用户的日常妆容方案：强调弱化过强色彩、保留五官优势、做减法而非加法；给出配色和浓淡控制建议,"{""face_style"": ""浓颜"", ""scene"": ""日常""}",中,"浓颜,日常妆"
CASE_031,油皮和混油皮的底妆选择有什么区别,知识问答,解释油皮与混油皮在底妆选择上的核心差异：控油强度、分区策略、产品质地选择；应参考skin-type-guide知识库,"{""topic"": ""底妆选择"", ""skin_type"": [""油皮"", ""混油皮""]}",中,"油皮,混油皮,底妆知识"
CASE_032,粉底液氧化暗沉是什么原因，怎么避免,知识问答,解释粉底液氧化暗沉的常见原因（成膜剂/油脂氧化、肤色粉体变色）；给出选品和上妆层面的预防建议,"{""topic"": ""粉底液暗沉"", ""category"": ""粉底液""}",中,"粉底液,暗沉"
CASE_033,敏感肌选护肤品需要避开什么成分,知识问答,给出敏感肌常见需谨慎的成分类型（香精/酒精/某些防腐剂/果酸等）；使用谨慎措辞，强调个体差异和试敏必要性；应参考ingredients-guide知识库,"{""skin_type"": ""敏感肌"", ""topic"": ""成分风险""}",难,"敏感肌,成分风险"
CASE_034,散粉和定妆喷雾有什么区别，分别适合什么肤质,知识问答,对比散粉和定妆喷雾的作用机制、适用肤质、使用顺序和叠加逻辑；应给出不同场景的选择建议,"{""topic"": ""定妆"", ""items"": [""散粉"", ""定妆喷雾""]}",易,"散粉,定妆喷雾,对比"
CASE_035,黄皮为什么有些粉色口红会显黑,知识问答,从色彩原理角度解释黄皮与粉色口红的关系：荧光感、饱和度、冷暖调的影响；给出黄皮安全的粉色选色范围建议；应参考color-matching知识库,"{""skin_tone"": ""黄皮"", ""topic"": ""口红色调""}",中,"黄皮,口红,色调"
CASE_036,新手怎么判断自己是冷皮还是暖皮,知识问答,给出实用的冷暖皮判断方法（血管法/金银首饰法/白纸对比法）；需说明判断方法并非100%准确，建议结合试色；应参考color-matching知识库,"{""topic"": ""肤色冷暖"", ""user_level"": ""新手""}",易,"冷暖皮,新手"
CASE_037,遮瑕应该在粉底前还是粉底后用,知识问答,解释遮瑕在粉底前/后的适用场景差异：校色遮瑕先于粉底、提亮遮瑕后于粉底；给出新手推荐顺序,"{""topic"": ""遮瑕顺序"", ""category"": ""遮瑕""}",易,"遮瑕,上妆顺序"
CASE_038,妆前乳一定要用吗，什么情况下需要,知识问答,解释妆前乳的作用和使用场景：不是必需品，特定需求下（控油/保湿/填毛孔/持妆）使用；给出替代方案（如用散粉替代控油妆前）,"{""topic"": ""妆前乳"", ""category"": ""妆前乳""}",易,"妆前乳,基础知识"
