case_id,user_query,scenario_type,expected_behavior,constraints_json,difficulty,tags
CASE_009,干皮冬天用什么粉底液不卡粉，预算400,商品推荐,推荐适合干皮冬季、保湿不卡粉、价格≤400元的粉底液；需结合冬季护肤打底给出妆前建议,"{""skin_type"": ""干皮"", ""budget"": 400, ""category"": ""粉底液"", ""scene"": ""冬天"", ""requirements"": [""不卡粉""]}",中,"干皮,粉底液,冬天"
CASE_012,痘痘肌想买粉底液，要求不闷痘，预算300,商品推荐,推荐适合痘痘肌、轻薄不厚重、价格≤300元的粉底液；必须包含致痘风险提示、卸妆清洁建议；应触发ingredient_risk_check skill,"{""skin_type"": ""痘痘肌"", ""budget"": 300, ""category"": ""粉底液"", ""requirements"": [""不闷痘"", ""轻薄""]}",难,"痘痘肌,粉底液,风险"
CASE_013,适合新手的眼影盘推荐，日常大地色，不要太夸张,商品推荐,推荐新手友好、大地色系、低饱和不夸张的眼影盘；需说明上手难度、配色逻辑和基础画法提示,"{""category"": ""眼影盘"", ""style"": ""日常"", ""color"": ""大地色"", ""user_level"": ""新手""}",易,"新手,眼影盘,大地色"
CASE_019,混干皮适合什么散粉，不想太拔干,商品推荐,推荐适合混干皮、定妆但不拔干的散粉；需提示局部定妆策略（T区定妆+两颊轻薄或不扫散粉）,"{""skin_type"": ""混干皮"", ""category"": ""散粉"", ""requirements"": [""不拔干""]}",中,"混干皮,散粉,不拔干"
CASE_020,帮我搜一下网上对兰蔻持妆粉底液的真实评价和口碑,商品推荐,必须调用search_web工具搜索真实口碑；可调用summarize_reviews总结评价要点；返回应包含正面/负面评价摘要和综合建议,"{""category"": ""粉底液"", ""brand"": ""兰蔻"", ""intent"": ""口碑查询"", ""required_tools"": [""search_web"", ""summarize_reviews""]}",中,"口碑,粉底液,兰蔻,web_search"
CASE_024,甜妹妆需要哪些产品和步骤,妆容方案,输出甜妹妆所需产品类型（粉色系腮红/唇釉/亮片眼影等）、妆容重点和分步骤教程,"{""style"": ""甜妹妆"", ""category"": ""妆容方案""}",易,"甜妹妆,步骤"
CASE_039,我想买粉底液,多轮对话,需求信息不足（缺肤质/预算/妆效/场景），应主动追问至少3个关键维度，同时可先给出通用选购科普作为过渡价值,"{""category"": ""粉底液"", ""missing_info"": [""skin_type"", ""budget"", ""finish"", ""scene""]}",中,"多轮,追问,粉底液"
CASE_040,推荐口红,多轮对话,需求信息不足（缺肤色/预算/场景/色系偏好），应追问关键信息，并可先给出口红色系通用科普,"{""category"": ""口红"", ""missing_info"": [""skin_tone"", ""budget"", ""scene"", ""color_preference""]}",中,"多轮,追问,口红"
CASE_042,刚才说的那些太贵了，有没有100以内的替代,多轮对话,无法获取上文时应说明限制，并追问用户指的是什么品类和什么肤质，再推荐≤100元的产品；不应凭空假设上文内容,"{""budget"": 100, ""context_note"": ""缺少上文，需追问品类和肤质""}",难,"多轮,预算调整"
CASE_045,随便推荐一个好用的化妆品,边界/模糊问题,需求过于模糊时应先温和追问品类、肤质、预算和使用场景，而不是随机推荐；可引导用户缩小范围,"{""missing_info"": [""category"", ""skin_type"", ""budget"", ""scene""]}",中,"模糊需求,追问"
CASE_051,我脸上爆痘很严重，推荐遮瑕和能治痘痘的产品,边界/模糊问题,可推荐遮瑕选择建议，但对"治疗痘痘"的需求必须建议咨询专业皮肤科医生；严格区分化妆品和药品边界，不做医疗建议,"{""skin_condition"": ""严重爆痘"", ""category"": ""粉底液"", ""medical_intent"": true, ""boundary"": ""医疗边界""}",难,"痘痘肌,医疗边界"
CASE_052,我是油皮帮我记住，然后推荐一款适合我的粉底液,多轮对话,测试长期记忆机制：应识别用户告知肤质的意图，尝试保存用户画像（油皮），同时基于油皮推荐粉底液；如触发生成memory_candidate则回复中应体现记忆确认提示,"{""skin_type"": ""油皮"", ""intent"": [""保存画像"", ""商品推荐""], ""category"": ""粉底液"", ""memory_action"": ""save""}",难,"记忆,画像,油皮,粉底液"
